class_id,task_id,paper_id,year,session,variant,task_ref,subject,item,task_level,page,task_text,test_path,test_url
9,2016-esantion-test-1-iii-essay,2016-esantion-test-1,2016,Esantion,Test 1,III.essay,III,essay,essay,5,"SUBIECTUL al III-lea (15 puncte) Studiază sursele A-B. SURSA A. Art.80, 81, 87: Germania recunoaşte independenţa şi frontierele Austriei, Cehoslovaciei, Poloniei. Art.119: Germania renunță la drepturile ei asupra coloniilor. Art.160: Armata germană nu poate depăşi cifra de 100 000 de oameni. Art.171: Fabricarea tancurilor este interzisă. Art.173: Serviciul militar este abolit. Art.198: Forţele militare ale Germaniei nu vor trebui să cuprindă nici o aviaţie militară sau marină. Art.231: Germania recunoaște că ea și aliații ei sunt responsabili de toate pierderile și sacrificiile.” (Extrase din Tratatul de la Versailles, 28 iunie 1919) SURSA B. „Totuşi, poate că felul în care a fost „dictat” tratatul a jignit Germania cel mai mult. Delegaţii Germaniei au fost excluşi de la orice discuţie şi apoi au fost convocaţi ca nişte „prizonieri aduşi să audă sentinţa”, după cum îşi aminteşte un diplomat englez. Mai mult decît atît, semnarea tratatului a avut loc în Sala Oglinzilor de la Versailles, loc unde fusese proclamată constituirea naţiunii germane în 1871, ceea ce părea o alegere intenţionată şi simbolică din partea francezilor, ce transmitea „un sentiment de răzbunare pentru insulta care le fusese adusă” în acel an.” (V. Brendon, Primul război mondial 1914-1918) Item Scor Utilizează sursele pentru a argumenta, într -un text coerent, afirmaţia: Tratatul de la Versailles aduce lovituri dure la adresa puterii, prosperității și mîndriei Germaniei. Notă: Formulează cel puţin trei argumente. 2 2 3 2 3 4 5 6 7 2",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=5
9,2016-esantion-test-2-i-1,2016-esantion-test-2,2016,Esantion,Test 2,I.1,I,1,item,2,"1 Formulează, utilizînd diagrama, o caracteristică a dezvoltării economiei României în perioada interbelică. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=2
9,2016-esantion-test-2-i-2,2016-esantion-test-2,2016,Esantion,Test 2,I.2,I,2,item,2,"2 Studiază caricatura alăturată, publicată în presa franceză în septembrie 1939. Determină la ce evenimente din istoria Poloniei face trimitere autorul. Argumentează răspunsul. Crucificarea Poloniei de către Hitler și Stalin 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=2
9,2016-esantion-test-2-i-3,2016-esantion-test-2,2016,Esantion,Test 2,I.3,I,3,item,2,"3 Formulează, în baza foii volante, o caracteristică specifică regimului politic din România interbelică. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=2
9,2016-esantion-test-2-i-4,2016-esantion-test-2,2016,Esantion,Test 2,I.4,I,4,item,2,"4 Formulează, utilizînd informația din tabel, o concluzie despre principalele puteri economice în perioada interbelică. Argumentează răspunsul. Tabel: Automobile vîndute în România interbelică Producător Anul 1938 SUA 18 650 (73,5%) Germania 2 790 (11,0%) Franța 1 835 (7,23%) 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=2
9,2016-esantion-test-2-ii-all,2016-esantion-test-2,2016,Esantion,Test 2,II.all,II,all,section,3,"SUBIECTUL al II-lea (23 de puncte) Studiază materialul suport și realizează sarcinile propuse. REPERE CRONOLOGICE (A). 1921, iulie: Hitler preia conducerea Partidului Național Socialist al Muncitorilor din Germania. 1933, ianuarie: Hitler devine cancelar al Germaniei. 1933, aprilie: Boicotarea magazinelor evreiești; începutul politicii antisemite. 1935: Germania nazistă proclama legile antisemite de la Nurnberg. 1938, Anschluss-ul, Germania „unește” Austria. 1939, septembrie: Germania atacă Polonia. 1945, mai: Capitularea Germaniei. SURSA B. „Instaurarea unei „noi ordini” se face și prin reprimarea și persecutarea sistematică a opozanților sau a celor pe care naziștii îi denunță ca „dușmanii permanenți ai Reichului”. […] […] Această „luptă” culminează cu masacrul populațiilor slave din Europa de Est (polonezi, ruși) și mai ales cu monstruoasa „soluție finală a problemei evreilor” , adică exterminarea populațiilor de religie israelită , începută în 1942. În toate țările ocupate de germani, evreii sînt arestați cu sutele de mii, deporta ți în Germania sau Polonia în lagăre unde sînt obliga ți să muncească în condi ții înspăimîntătoare, fără hrană suficientă, fără condi ții de igienă, supu și brutalităților sadice ale gardienilor care îi supraveghează. Cei ca re nu sînt în stare să muncească (bătrîni, copii, bolnavi) sau care î și pierd puterile sînt asfixia ți în camere de gazare iar trupurile lor sînt arse în crematorii. Scopul lui Hitler este acela de a stîrpi astfel în totalitate „rasa evreiască”. În 1945, Europa va descoperi cu groază că 9 mln. de persoane dintre care 6 m ln. de evrei au avut parte de această moarte oribilă în lagărele de exterminare […].” (Serge Berstein, Pierre Milza, Istoria Europei, 1998) SURSA C. Nr. Item Scor 1 Studiază reperele cronologice (A). Identifică două evenimente ce reflectă limitele cronologice ale Germaniei naziste. 2 2 Scrie limitele cronologice pentru al Doilea Război Mondial. Studiază sursa B. 3 Explică semnificația atribuită de către naziști pentru termenul noua ordine. 2 4 Justifică aprecierea autorului pentru politica nazistă de soluție finală a problemei evreilor. 2 3 4 Studiază sursele B și C. 5 Descrie, utilizînd harta, sistemul de lagăre de exterminare organizat de Germania nazistă. 2 3 4 Valorifică materialul suport și cunoștințele obținute anterior. 6 Explică două consecințe ale instaurării în Europa a noii ordini naziste. 2 3 4 5 7 Consideri suficiente și relevante acțiunile realizare după al Doilea Război Mondial spre a preveni o nouă conflagrație mondială? Formulează două argumente. 2 3 4 5",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=3
9,2016-esantion-test-2-ii-1,2016-esantion-test-2,2016,Esantion,Test 2,II.1,II,1,item,4,1 Studiază reperele cronologice (A). Identifică două evenimente ce reflectă limitele cronologice ale Germaniei naziste. 2 2 Scrie limitele cronologice pentru al Doilea Război Mondial. L 0,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=4
9,2016-esantion-test-2-ii-3,2016-esantion-test-2,2016,Esantion,Test 2,II.3,II,3,item,4,3 Explică semnificația atribuită de către naziști pentru termenul noua ordine. 2 4 Justifică aprecierea autorului pentru politica nazistă de soluție finală a problemei evreilor. 2 3,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=4
9,2016-esantion-test-2-ii-4,2016-esantion-test-2,2016,Esantion,Test 2,II.4,II,4,item,4,4 Studiază sursele B și C.,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=4
9,2016-esantion-test-2-ii-5,2016-esantion-test-2,2016,Esantion,Test 2,II.5,II,5,item,4,"5 Descrie, utilizînd harta, sistemul de lagăre de exterminare organizat de Germania nazistă. 2 3 4 Valorifică materialul suport și cunoștințele obținute anterior.",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=4
9,2016-esantion-test-2-ii-6,2016-esantion-test-2,2016,Esantion,Test 2,II.6,II,6,item,4,6 Explică două consecințe ale instaurării în Europa a noii ordini naziste. 2 3 4 5 7 Consideri suficiente și relevante acțiunile realizare după al Doilea Război Mondial spre a preveni o nouă conflagrație mondială? Formulează două argumente. 2 3 4 5,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=4
9,2016-esantion-test-2-iii-essay,2016-esantion-test-2,2016,Esantion,Test 2,III.essay,III,essay,essay,5,"SUBIECTUL al III-lea (15 puncte) Studiază sursele A-C. SURSA A. „Prin înființarea Facultății de Teologie din Chișinău s-a făcut un mare lucru și bun, folositor pentru popula ția Basarabiei, s -a săpat un izvor de apă vie a culturii religioase și na ționale în mijlocul populației setoase de această cultură. […] Ștefan cel Mare pentru apărarea mo șiei a zidit cetă ți, ca înlăuntrul lor să se apere. Acum aceste cetăți nu mai folosesc la nimic. Cetățile unui neam sunt universitățile. Zidurile de apărare sînt piepturile românilor plini de iubire de neam. Aceste piepturi să le cre ștem, la hotarele țării, prin universitățile provinciale. Să dăm Basarabiei cît mai multă cultură! De aceea doresc ca Facultatea de Teologie să fie sîmburile, nucleul unei universități basarabene.” (Arhiepiscopul Gurie, Din Discursul rostit la inaugurarea Facultății de Teologie la Chișinău, 1927) SURSA B. SURSA C. „Majoritatea celor 1084 școli primare ruse ști au fost, după 1918, românizate, construindu -se pe parcursul perioadei interbelice încă 300 de localuri noi. Acestor școli le-a revenit rolul principal în lupta pentru combaterea analfabetismului, ob ținîndu-se în direcția dată progrese notabile. Astfel, numărul școlilor a sporit, în perioada 1920 - ianuarie 1939 de la 1 747 la 2 718, cel al învă țătorilor de la 2 746 la 7 581, iar numărul elevilor înscri și – de la 136 1 72 la 346 747.” (Nicolae Enciu, Basarabia în anii 1918-1940. Evoluție demografică și economică) Foto: Monumentul lui Ștefan cel Mare și Sf înt, dezvelit la 29 aprilie 1928 , Chișinău Item Scor Utilizează sursele pentru a argumenta, într-un text coerent, afirma ția: Basarabia a beneficiat în perioada interbelică de o veritabilă renaștere spirituală. Notă: Formulează cel puțin trei argumente. 2 2 3 2 3 4 5 6 7 2",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test2_ro_esantion16.pdf,pdfs/2016-esantion-test-2.pdf#page=5
9,2016-pretestare-test-i-1,2016-pretestare-test,2016,Pretestare,,I.1,I,1,item,2,"1 Numește, utilizînd imaginea, o ramură industrială dezvoltată în perioada interbelică în România. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=2
9,2016-pretestare-test-i-2,2016-pretestare-test,2016,Pretestare,,I.2,I,2,item,2,2 Studiază caricatura. Determină opinia autorului despre regimul politic la care face trimitere în caricatură. Argumentează răspunsul. 2 3,!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=2
9,2016-pretestare-test-i-3,2016-pretestare-test,2016,Pretestare,,I.3,I,3,item,2,3 Studiază titlul articolului. Cît de justificat din punct de vedere istoric consideri titlul propus de autor? Argumentează răspunsul. 2 3,!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=2
9,2016-pretestare-test-i-4,2016-pretestare-test,2016,Pretestare,,I.4,I,4,item,2,"4 Formulează, utilizînd diagrama, o consecință a revoluției științifico-tehnice în dezvoltarea economică a SUA. Argumentează răspunsul. 73% 24% 3% Structura forței de muncă în SUA, 1998 sectorul terțiar (servicii) sectorul secundar (industrie) sectorul primar (agricultură) 2 3",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=2
9,2016-pretestare-test-ii-all,2016-pretestare-test,2016,Pretestare,,II.all,II,all,section,3,"SUBIECTUL al II-lea (23 de puncte) Studiază materialul suport și realizează sarcinile propuse. TERMEN: disident – persoană cu opinii diferite, opuse de cele al colectivității din care face parte. REPERE CRONOLOGICE (A). 1945, martie: Instaurarea guve rnului Petru Groza. 1946, februarie: Proclamarea Republici i Populare Ungaria. 1947, decembrie: Abdicarea regelui Mihai I. 1949: Crearea Republicii Democrate Germană. 1955: Crearea Organizației Tratatului de la Varșovia. 1956, februarie: Nikita Hrușciov, în cadrul Congresului al XX-lea al PCUS, pre zintă raportul în care critică „cultul personalității lui Stalin”. SURSA B. „[…] moartea lui Stalin pe 5 martie 1953, marchează […] un timid început de liberalizare a taberei socialiste, ale cărui efecte nu pot fi controlate în totalitate de conducătorii sovietici și care se termină în toamna anului 1956 odată cu evenimentele dramatice din Ungaria. După această dată, destabilizarea continuă, dar foarte lent și cu multă pruden ță, fără ca schimbările pe care le produ ce în structurile interne ale fiecărui partid și ale fiecărei țări comuniste să modifice ceva în legăturile acestora cu „marele frate”. La sfîr șitul anilor 1960 și la începutul deceniului următor, un mare val contestatar ia amploare în democra țiile populare, care culminează cu ""Primăvara de la Praga"" din 1968. Dar și acesta este strivit prin for ță, însă jocul forțelor centrifuge face din ce în ce mai dificilă ținerea sub control de către URSS […].” (Serge Berstein, Pierre Milza, Istoria Europei, 1998) SURSA C. SURSA D. „Pătrunderea trupelor celor cinci țări socialiste în Cehoslovacia constituie o mare gre șeală și o primejdie gravă pentru pacea în Europa […]. Este de neconceput în lumea de astăzi, c înd popoarele se ridică la luptă p entru a -și apăra independen ța na țională, pentru egalitatea în drepturi, ca un stat socialist, ca state socialiste să încalce libertatea și independența altui stat.” (Din discursul lui N. Ceaușescu din 21 august 1968, prin care condamnă intervenția în Cehoslovacia) Nr. Item Scor 1 Studiază reperele cronologice (A). Identifică două evenimente ce reflectă instaurarea regimurilor de democrație populară în statele din Europa de Est. 2 Studiază sursa B. 2 Explică semnificația sintagmei marele frate. 2 3 Identifică în text o consecință a morții lui Stalin asupra relației dintre URSS și statele democrații populare din Europa de Est. Studiază sursa C. 4 Justifică utilizarea termenului disident cu trimitere la punctul de vedre în problema dată al liderului politic român, Nicolae Ceaușescu. 2 3 4 Studiază sursa D. 5 Demonstrează, utilizînd harta, că democrațiile populare din Europa de Est au cunoscut revolte anticomuniste. 2 3 4 Valorifică materialul suport și cunoștințele obținute anterior. 6 Valorifică sursele B și C pentru a prezenta, după algoritmul cauze-desfășurare- consecințe, revolta anticomunistă din Cehoslovacia. 2 3 4 5 Valorifică materialul suport și cunoștințele obținute anterior. 7 Exprimă-ți opinia despre semnificația rezistenței anticomuniste în Europa de Est. Formulează două argumente. 2 3 4 5",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=3
9,2016-pretestare-test-ii-1,2016-pretestare-test,2016,Pretestare,,II.1,II,1,item,4,"1 Studiază sursa C. 4 Justifică utilizarea termenului disident cu trimitere la punctul de vedre în problema dată al liderului politic român, Nicolae Ceaușescu. 2 3",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=4
9,2016-pretestare-test-ii-2,2016-pretestare-test,2016,Pretestare,,II.2,II,2,item,4,2 Explică semnificația sintagmei marele frate. 2,!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=4
9,2016-pretestare-test-ii-3,2016-pretestare-test,2016,Pretestare,,II.3,II,3,item,4,3 Identifică în text o consecință a morții lui Stalin asupra relației dintre URSS și statele democrații populare din Europa de Est. L 0,!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=4
9,2016-pretestare-test-ii-4,2016-pretestare-test,2016,Pretestare,,II.4,II,4,item,4,"4 Studiază sursa D. 5 Demonstrează, utilizînd harta, că democrațiile populare din Europa de Est au cunoscut revolte anticomuniste. 2 3 4 Valorifică materialul suport și cunoștințele obținute anterior. 6 Valorifică sursele B și C pentru a prezenta, după algoritmul cauze-desfășurare- consecințe, revolta anticomunistă din Cehoslovacia. 2 3 4 5 Valorifică materialul suport și cunoștințele obținute anterior.",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=4
9,2016-pretestare-test-ii-7,2016-pretestare-test,2016,Pretestare,,II.7,II,7,item,5,7 Exprimă-ți opinia despre semnificația rezistenței anticomuniste în Europa de Est. Formulează două argumente. 2 3 4 5,!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=5
9,2016-pretestare-test-iii-essay,2016-pretestare-test,2016,Pretestare,,III.essay,III,essay,essay,5,"SUBIECTUL al III-lea (15 puncte) Studiază sursele A-B. SURSA A. „[…] Potrivit scopului urmărit , sovietele au înfiin țat școli moldovenești, în cari se predau copiilor moldoveni doctrinele comuniste într’o limbă st îlcită moldovenească […]. În acela ș timp, sovietele au procedat și urmăresc metodic dist rugerea religiei, obiceiuri lor și a familiei moldovenilor. Li-se confisca produsul muncii lor, li se sechestrează averea, ori c ît de mică ar fi ea, și îi silesc cu for ța de a se înscrie în gospodăriile colective „kolhozuri”, unde ei sunt sorti ți unei existențe de sclavi, muncind toa tă viața sub conducerea unor comitete și neprimind în schimb nici măcar atît cît trebuie omului pentru a nu muri de foame. […] Toți refugiații scăpați cu viața din „Republica Moldo veneasca” [RASSM – n.n.] declară, că în ultimul timp moldovenii sunt zilnic îmbarcați în vagoane și trenuri întregi și expediați în Siberia, bărbații separat de femeile lor și acestea separat de copiii lor. […]” (Din Memoriul românilor transnistreni adresat Ligii Națiunilor, 1932) SURSA B. „[…] În poăzia Moldovenii despre tovarășu Stalin a poătului tovarăș Țurcan se descrie cum de adînc în suflet au sîmțit moldovenii razele luminoase a soarelui – Stalin: O, Stalin scump-a vieții soare, O, tată bun și credinșios, Noi din Moldova ’nfloritoare În șinstea ta cîntăm voios.” (L. Cornfelid, Tovarășu Stalin în cîntișile și poăziile sovetișe moldovenești, în „Okteabri: jurnal obștesc-politic și literar-hudojnic”, nr.12, 1939, Tiraspol) Item Scor Utilizează sursele pentru a argumenta, într-un text coerent, afirmația: RASSM – imagine în miniatură a unui regim totalitar. Notă: Formulează cel puțin trei argumente. 2 2 3 2 3 4 5 6 7 2",!Teste examene 2016 - 2024/2016/Pretestare/09_ist_ro_test_pr16.pdf,pdfs/2016-pretestare-test.pdf#page=5
9,2016-sesiunea-de-baza-test-i-1,2016-sesiunea-de-baza-test,2016,Sesiunea de baza,,I.1,I,1,item,3,"1 Formulează, utilizînd diagrama, o concluzie despre dezvoltarea economică a României în perioada interbelică. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Sesiunea de baza/09_ist_test_ro_sb16.pdf,pdfs/2016-sesiunea-de-baza-test.pdf#page=3
9,2016-sesiunea-de-baza-test-i-2,2016-sesiunea-de-baza-test,2016,Sesiunea de baza,,I.2,I,2,item,3,2 Studiază caricatura. Determină regimul politic la care face trimitere autorul. Argumentează răspunsul. 2 3,!Teste examene 2016 - 2024/2016/Sesiunea de baza/09_ist_test_ro_sb16.pdf,pdfs/2016-sesiunea-de-baza-test.pdf#page=3
9,2016-sesiunea-de-baza-test-i-3,2016-sesiunea-de-baza-test,2016,Sesiunea de baza,,I.3,I,3,item,3,3 Studiază posterul. Formulează un motiv pentru care în Republica Moldova se organizează activități de comemorare în această zi. Argumentează răspunsul. 2 3 Inscripție: Ziua europeană a comemorării victimelor stalinismului și nazismului,!Teste examene 2016 - 2024/2016/Sesiunea de baza/09_ist_test_ro_sb16.pdf,pdfs/2016-sesiunea-de-baza-test.pdf#page=3
9,2016-sesiunea-de-baza-test-i-4,2016-sesiunea-de-baza-test,2016,Sesiunea de baza,,I.4,I,4,item,3,"4 Formulează, cu trimitere la datele statistice din tabel, o caracteristică pentru un domeniu al societății din RSSM. Argumentează răspunsul. Tabel: Editarea ziarelor în RSSM Anul În total În limba română numărul tirajul numărul tirajul 1954 98 66 407 65 39 406 1958 101 105 733 50 58 558 2 3",!Teste examene 2016 - 2024/2016/Sesiunea de baza/09_ist_test_ro_sb16.pdf,pdfs/2016-sesiunea-de-baza-test.pdf#page=3
