task_id,topic_id,status,note
2025-esantion-test-2-i-3,7,approved,"Fotografia despre votul pentru Partidul Național Țărănesc cere o caracteristică a regimului politic din România interbelică."
2025-esantion-test-2-i-4,15,approved,"Conferința de la Teheran și Coaliția antihitleristă țin de Al Doilea Război Mondial."
2025-esantion-test-2-ii-all,12,approved,"Subiectul II urmărește relațiile româno-sovietice, problema Basarabiei, Conferința de la Viena și Pactul Ribbentrop-Molotov."
2025-esantion-test-2-iii-essay,5,approved,"Eseul este despre criza economică din 1929-1933, cu surse despre SUA, Basarabia și efectele globale."
2025-pretestare-test-i-1,4,approved,"Coperta despre Tratatul de Pace cu Germania de la Versailles trimite la Conferința de Pace și noua ordine internațională."
2025-pretestare-test-i-2,14,approved,"Harta cere teritoriile incluse în componența RSSM, deci ține de formarea RSSM."
2025-pretestare-test-i-3,10,approved,"Alexandru Plămădeală este abordat prin contribuția la cultura națională interbelică."
2025-pretestare-test-i-4,5,approved,"Tabelul cu prețurile cerealelor cere o consecință a crizei economice din 1929-1933."
2025-pretestare-test-ii-all,2,approved,"Subiectul II este despre mișcarea națională din Basarabia în 1917-1918, Sfatul Țării și autonomia."
2025-pretestare-test-iii-essay,10,approved,"Eseul tratează dezvoltarea științei, tehnicii și culturii de masă în perioada interbelică."
2025-sesiunea-de-baza-test-i-2,5,approved,"Graficul ratei șomajului 1928-1938 cere o consecință a crizei economice din 1929-1933."
2025-sesiunea-de-baza-test-i-4,22,approved,"Itemul despre drapelul de stat al Republicii Moldova ține de etapa RSSM 1985-1991 și proclamarea independenței."
2025-sesiunea-de-baza-test-ii-all,3,approved,"Subiectul II urmărește Unirea Basarabiei, Bucovinei și Transilvaniei cu România în 1918."
2025-sesiunea-de-baza-test-iii-essay,26,approved,"Eseul tratează dezvoltarea științei și tehnicii contemporane, inclusiv comunicații, automobile și tehnologie spațială."
2025-suplimentara-test-i-2,26,approved,"Itemul cere importanța internetului și a tehnologiilor informaționale în lumea contemporană."
2025-suplimentara-test-i-4,7,approved,"Tabelul despre producția de cărbune și oțel în România interbelică ține de dezvoltarea României interbelice."
2025-suplimentara-test-ii-all,22,approved,"Subiectul II este despre Frontul Popular, Marile Adunări Naționale, limba română, tricolor și Declarația de Independență."
2025-suplimentara-test-iii-essay,5,approved,"Eseul este despre Marea Depresiune din 1929-1933 și efectele economice, sociale și politice."
2024-esantion-test-2-i-2,18,approved,"Itemul despre ședința ONU cere un obiectiv de bază al Organizației Națiunilor Unite."
2024-esantion-test-2-i-3,2,approved,"Coperta 'Unirea Basarabiei cu România' trimite la mișcarea națională basarabeană."
2024-esantion-test-2-i-3,3,approved,"Același item ține și de Marea Unire și formarea statului național unitar român."
2024-esantion-test-2-i-4,5,approved,"Tabelul ratei șomajului 1928-1938 cere consecințe sociale ale Marii Crize economice."
2024-esantion-test-2-ii-all,6,approved,"Subiectul II este despre regimurile totalitare interbelice din Italia și Germania, cu Mussolini și Hitler."
2024-esantion-test-2-iii-essay,3,approved,"Eseul argumentează consecințele pozitive ale Marii Uniri din 1918."
2024-esantion-test-2-iii-essay,7,approved,"Sursele din eseu tratează modernizarea economică, socială și educațională a României interbelice."
2024-pretestare-test-i-1,3,approved,"Tratatul de la Trianon este legat de recunoașterea internațională a Marii Uniri."
2024-pretestare-test-i-1,4,approved,"Trianon este și document al sistemului de pace de la Paris."
2024-pretestare-test-i-2,6,approved,"Acordul de la München și dezmembrarea Cehoslovaciei țin de criza Europei interbelice și ascensiunea Germaniei."
2024-pretestare-test-i-3,8,approved,"Fotografia cere o caracteristică a vieții culturale din Basarabia interbelică."
2024-pretestare-test-i-4,2,approved,"Ion Inculeț este abordat prin rolul în mișcarea de eliberare națională din Basarabia."
2024-pretestare-test-ii-all,1,approved,"Subiectul II este despre România în Primul Război Mondial: Antanta, Consiliul de Coroană, luptele din 1917 și urmările războiului."
2024-pretestare-test-iii-essay,18,approved,"Eseul tratează Planul Marshall și evoluția relațiilor internaționale postbelice."
2024-sesiunea-de-baza-test-i-1,18,approved,"Coperta despre Planul Marshall și începuturile Războiului Rece ține de relațiile internaționale postbelice."
2024-sesiunea-de-baza-test-i-2,13,approved,"Harta cere identificarea unui teritoriu pierdut de România în anul 1940."
2024-sesiunea-de-baza-test-i-3,26,approved,"Itemul cere o caracteristică a culturii și științei contemporane."
2024-sesiunea-de-baza-test-i-4,22,approved,"Timbrul despre Declarația de Independență a Republicii Moldova ține de proclamarea independenței."
2024-sesiunea-de-baza-test-ii-all,4,approved,"Subiectul II este despre Conferința de Pace de la Paris, Cele 14 puncte și tratatele sistemului de pace."
2024-sesiunea-de-baza-test-ii-all,3,approved,"Itemii includ documente care atestă recunoașterea internațională a unirii și formarea României Mari."
2024-sesiunea-de-baza-test-iii-essay,20,approved,"Eseul tratează colectivizarea și transformările social-economice din RSS Moldovenească."
2024-sesiunea-de-baza-test-iii-essay,21,approved,"Sursele includ foametea, rechizițiile forțate, deportările și metodele represive din RSSM."
2024-suplimentara-test-i-1,3,approved,"Coperta despre 1 decembrie 1918 trimite la Marea Unire."
2024-suplimentara-test-i-2,12,approved,"Harta Pactului Molotov-Ribbentrop și consecințele pentru Polonia intră la Pactul Ribbentrop-Molotov și consecințele lui pentru Europa."
2024-suplimentara-test-i-3,26,approved,"Neil Armstrong și explorarea spațiului țin de știința și tehnica universală contemporană."
2024-suplimentara-test-i-4,3,approved,"Ferdinand I Întregitorul este tratat prin rolul său în Marea Unire."
2024-suplimentara-test-ii-all,18,approved,"Subiectul II este despre relațiile internaționale postbelice: Planul Marshall, NATO, Pactul de la Varșovia, Cortina de Fier și Criza rachetelor."
2024-suplimentara-test-iii-essay,7,approved,"Eseul tratează reformele liberale, Constituția din 1923, reforma agrară și învățământul în România interbelică."
2023-esantion-test-1-i-2,5,approved,"Titlul despre Wall Street și Marțea neagră trimite la criza economică din SUA."
2023-esantion-test-1-i-3,7,approved,"Tabelul compară venitul național al României cu alte țări în perioada interbelică."
2023-esantion-test-1-i-4,11,approved,"Harta Micii Înțelegeri cere scopul alianței regionale interbelice."
2023-esantion-test-1-ii-all,9,approved,"Subiectul II este despre crearea RASSM, scopurile sovietice, colectivizare și represiuni în stânga Nistrului."
2023-esantion-test-1-iii-essay,5,approved,"Eseul argumentează efectele distructive ale Marii Crize economice din 1929-1933."
2023-esantion-test-2-i-3,26,approved,"Timbrul cu Neil Armstrong trimite la explorarea spațiului și știința universală contemporană."
2023-esantion-test-2-i-4,22,approved,"Adoptarea stemei de stat a Republicii Moldova ține de procesul de afirmare statală și independență."
2023-esantion-test-2-ii-all,4,approved,"Subiectul II este despre Sistemul de la Versailles, tratatele de pace și noua ordine internațională."
2023-esantion-test-2-iii-essay,10,approved,"Eseul tratează contribuțiile Mariei Cebotari și Constantin Brâncuși la cultura națională și mondială."
2023-pretestare-test-i-2,5,approved,"Itemul cere o consecință a crizei economice din 1929-1933."
2023-pretestare-test-i-3,7,approved,"Tabelul compară dezvoltarea economică a României cu alte țări în perioada interbelică."
2023-pretestare-test-i-4,3,approved,"Moneda cu Ferdinand I la 100 de ani de la încoronare trimite la Marea Unire și consolidarea României Mari."
2023-pretestare-test-ii-all,12,approved,"Subiectul II include Pactul Molotov-Ribbentrop, notele ultimative sovietice și condițiile pierderii Basarabiei."
2023-pretestare-test-ii-all,13,approved,"Subiectul II este centrat pe pierderile teritoriale ale României din vara anului 1940."
2023-pretestare-test-iii-essay,4,approved,"Eseul argumentează că Conferința de Pace de la Paris a stabilit o nouă ordine internațională."
2023-sesiunea-de-baza-test-i-1,2,approved,"Actul Unirii Basarabiei trimite la mișcarea națională din Basarabia."
2023-sesiunea-de-baza-test-i-1,3,approved,"Același item ține de Marea Unire și formarea statului național unitar român."
2023-sesiunea-de-baza-test-i-2,7,approved,"Itemul despre obiectivele guvernului român interbelic în învățământ ține de modernizarea României interbelice."
2023-sesiunea-de-baza-test-i-4,4,approved,"Logo-ul Ligii Națiunilor cere importanța organizației în noua ordine internațională."
2023-sesiunea-de-baza-test-i-4,11,approved,"Liga Națiunilor se leagă și de securitatea colectivă și alianțele politico-militare interbelice."
2023-sesiunea-de-baza-test-ii-all,22,approved,"Subiectul II tratează mișcarea democratică de eliberare națională și proclamarea independenței Republicii Moldova."
2023-sesiunea-de-baza-test-ii-all,14,approved,"Sursele și itemii includ formarea RSSM la 2 august 1940 și teritoriile care au stat la baza acesteia."
2023-sesiunea-de-baza-test-iii-essay,5,approved,"Eseul este despre Marea Depresiune și efectele ei distructive în societatea interbelică."
2023-sesiunea-suplimentara-test-i-2,5,approved,"Itemul cere o caracteristică a crizei economice din 1929-1933."
2023-sesiunea-suplimentara-test-i-3,4,approved,"Imaginea Consiliului celor Patru este folosită ca simbol al Conferinței de Pace de la Paris."
2023-sesiunea-suplimentara-test-i-4,22,approved,"Timbrul despre 10 ani de la Declarația Independenței Republicii Moldova ține de proclamarea independenței."
2023-sesiunea-suplimentara-test-ii-all,12,approved,"Subiectul II este despre Pactul Molotov-Ribbentrop, protocolul adițional secret și consecințele sale pentru Europa."
2023-sesiunea-suplimentara-test-iii-essay,22,approved,"Eseul argumentează Declarația de independență a Republicii Moldova ca rezultat al mișcării democratice de masă."
2022-esantion-test-1-i-2,7,approved,"Locomotiva Regele Ferdinand si uzina Resita trimit la industrializarea Romaniei interbelice."
2022-esantion-test-1-i-4,5,approved,"Tabelul 1929-1932 descrie efectele crizei economice mondiale."
2022-esantion-test-1-ii-all,6,approved,"Subiectul compara democratia si regimurile totalitare interbelice din Europa si SUA."
2022-esantion-test-1-iii-essay,8,approved,"Eseul trateaza reforma agrara si modernizarea Basarabiei in cadrul Romaniei Mari."
2022-esantion-test-2-i-1,17,approved,"Memorialul de la Hiroshima cere o consecinta a celui de-al Doilea Razboi Mondial."
2022-esantion-test-2-i-2,8,approved,"Coperta despre Basarabia in primul deceniu interbelic tine de modernizarea prin reforme."
2022-esantion-test-2-i-3,5,approved,"Franklin D. Roosevelt si Noul Curs apartin temei despre SUA."
2022-esantion-test-2-i-4,7,approved,"Tabelul compara dezvoltarea economica a Romaniei interbelice."
2022-esantion-test-2-ii-all,11,approved,"Subiectul este despre diplomatia si aliantele Romaniei interbelice."
2022-esantion-test-2-ii-all,12,approved,"Include relatiile sovieto-romane si problema Basarabiei in perioada interbelica."
2022-esantion-test-2-ii-all,3,approved,"Include recunoasterea diplomatica a Romaniei Mari."
2022-esantion-test-2-iii-essay,5,approved,"Eseul trateaza Marea Depresiune si efectele ei."
2022-pretestare-test-i-1,22,approved,"Strada 31 august 1989 trimite la miscarea nationala si limba romana in RSSM."
2022-pretestare-test-i-2,12,approved,"Coperta mentioneaza problema Basarabiei si relatiile sovieto-romane interbelice."
2022-pretestare-test-i-4,8,approved,"Diagrama PIB vizeaza economia Basarabiei interbelice."
2022-pretestare-test-ii-all,4,approved,"Subiectul este despre Sistemul de la Versailles si Conferinta de Pace de la Paris."
2022-pretestare-test-iii-essay,7,approved,"Eseul trateaza Constitutia din 1923, democratia si reformele din Romania interbelica."
2022-sesiunea-de-baza-test-i-1,22,approved,"Timbrul despre 10 ani de la Declaratia Independentei Republicii Moldova tine de proclamarea independentei."
2022-sesiunea-de-baza-test-i-3,25,approved,"Grigore Vieru este tratat ca personalitate a culturii din Republica Moldova."
2022-sesiunea-de-baza-test-i-4,6,approved,"Comparatia cu Marea Britanie apartine statelor Europei de Vest in perioada interbelica."
2022-sesiunea-de-baza-test-ii-all,7,approved,"Subiectul trateaza Marea Unire, Constitutia din 1923 si reformele Romaniei interbelice."
2022-sesiunea-de-baza-test-ii-all,3,approved,"Marea Unire si consolidarea statului national unitar sunt centrale in subiect."
2022-sesiunea-de-baza-test-iii-essay,26,approved,"Eseul este despre stiinta si tehnologia universala in secolul XX."
2022-suplimentara-test-i-1,22,approved,"Aderarea Republicii Moldova la ONU in 1992 tine de afirmarea statului dupa independenta."
2022-suplimentara-test-i-1,18,approved,"Aderarea la ONU este si un reper de relatii internationale postbelice."
2022-suplimentara-test-i-2,26,approved,"Concorde este folosit ca reper al progresului tehnico-stiintific contemporan."
2022-suplimentara-test-i-3,25,approved,"Eugen Doga este tratat ca personalitate a culturii din Republica Moldova."
2022-suplimentara-test-i-4,22,approved,"Steagurile Moldova-UE trimit la obiective ale politicii externe a Republicii Moldova dupa independenta."
2022-suplimentara-test-ii-all,11,approved,"Subiectul este despre diplomatia si aliantele Romaniei interbelice."
2022-suplimentara-test-ii-all,12,approved,"Include problema Basarabiei si relatiile sovieto-romane."
2022-suplimentara-test-ii-all,3,approved,"Include recunoasterea diplomatica a Romaniei Mari."
2022-suplimentara-test-iii-essay,5,approved,"Eseul trateaza Marea Depresiune si efectele sale."
2021-esantion-test-1-i-4,5,approved,"Tabelul despre automobile include dominatia economica a SUA in perioada interbelica."
2021-esantion-test-1-i-4,6,approved,"Acelasi tabel compara si state vest-europene interbelice."
2021-esantion-test-1-ii-all,7,approved,"Subiectul este despre Marea Unire, reforme si Romania interbelica."
2021-esantion-test-1-ii-all,3,approved,"Marea Unire si statul national unitar sunt elemente centrale."
2021-esantion-test-1-iii-essay,11,approved,"Pactul Briand-Kellogg si mentinerea pacii tin de tratatele politico-militare interbelice."
2021-esantion-test-2-i-1,5,approved,"Realegerea lui Franklin D. Roosevelt tine de SUA si Noul Curs."
2021-esantion-test-2-i-2,9,approved,"Colectivizarea fortata si colhozurile sunt folosite pentru realitati sovietice interbelice."
2021-esantion-test-2-i-3,2,approved,"Ion Inculet este legat de miscarea nationala din Basarabia in 1917-1918."
2021-esantion-test-2-i-3,3,approved,"Itemul marcheaza si Unirea Basarabiei cu Romania."
2021-esantion-test-2-i-4,7,approved,"Tabelul trateaza evolutia economica a Romaniei interbelice."
2021-esantion-test-2-ii-all,12,approved,"Subiectul include Pactul Ribbentrop-Molotov si protocolul secret."
2021-esantion-test-2-ii-all,6,approved,"Munchen, Germania nazista si politica de conciliere tin de criza Europei interbelice."
2021-esantion-test-2-iii-essay,9,approved,"Eseul trateaza formarea RASS Moldovenesti si scopurile expansioniste sovietice."
2021-pretestare-test-i-1,4,approved,"Consiliul celor Patru trimite la Conferinta de Pace de la Paris."
2021-pretestare-test-i-2,7,approved,"Minoritatile etnice din Romania interbelica apartin temei despre Romania interbelica."
2021-pretestare-test-i-4,17,approved,"Complexul memorial Eternitate este folosit pentru memoria si consecintele razboiului."
2021-pretestare-test-ii-all,4,approved,"Subiectul trateaza Sistemul de la Versailles si Societatea Natiunilor."
2021-pretestare-test-ii-all,11,approved,"Include Pactul Briand-Kellogg si mecanisme de securitate colectiva."
2021-pretestare-test-ii-all,12,approved,"Include Pactul Ribbentrop-Molotov ca etapa a prabusirii pacii interbelice."
2021-pretestare-test-iii-essay,7,approved,"Eseul trateaza Constitutia, pluralismul si reformele Romaniei interbelice."
2021-sesiunea-de-baza-test-i-4,8,approved,"Tabelul despre structura etnica a Basarabiei in 1930 tine de Basarabia in Romania Mare."
2021-sesiunea-de-baza-test-ii-all,15,approved,"Subiectul trateaza cauze, evenimente si consecinte ale celui de-al Doilea Razboi Mondial."
2021-sesiunea-de-baza-test-ii-all,17,approved,"Accentul pe consecinte si memoria razboiului justifica tema consecintelor."
2021-sesiunea-de-baza-test-iii-essay,8,approved,"Eseul trateaza economia Basarabiei in perioada interbelica."
2021-suplimentara-test-i-1,5,approved,"Roosevelt tine de SUA in perioada interbelica."
2021-suplimentara-test-i-2,5,approved,"Somajul si criza economica trimit la Marea Depresiune."
2021-suplimentara-test-i-4,11,approved,"Mica Antanta este alianta politico-militara interbelica."
2021-suplimentara-test-ii-all,12,approved,"Subiectul porneste de la Pactul Ribbentrop-Molotov si anexarea Basarabiei."
2021-suplimentara-test-ii-all,20,approved,"Include reinstaurarea regimului sovietic si transformari sociale in RSSM."
2021-suplimentara-test-ii-all,21,approved,"Include foametea, deportarile si colectivizarea fortata in RSSM."
2021-suplimentara-test-iii-essay,4,approved,"Eseul trateaza Sistemul de la Versailles si noua ordine internationala."
2019-esantion-test-1-i-1,5,approved,"Programul Noul Curs tine de SUA."
2019-esantion-test-1-i-4,7,approved,"Tabelul trateaza productia de carbune si otel in Romania interbelica."
2019-esantion-test-1-ii-all,7,approved,"Subiectul trateaza Marea Unire, Constitutia din 1923 si reformele Romaniei interbelice."
2019-esantion-test-1-ii-all,3,approved,"Marea Unire si consolidarea statului national unitar sunt centrale."
2019-esantion-test-1-iii-essay,7,approved,"Eseul despre regimul democratic foloseste Constitutia Romaniei din 1923."
2019-esantion-test-2-i-2,18,approved,"Propaganda rosie in perioada postbelica trimite la confruntarea politica Est-Vest."
2019-esantion-test-2-i-3,26,approved,"Neil Armstrong si aselenizarea tin de stiinta si tehnica universala contemporana."
2019-esantion-test-2-ii-all,4,approved,"Subiectul trateaza cele 14 puncte, Societatea Natiunilor si ordinea de dupa Primul Razboi Mondial."
2019-esantion-test-2-ii-all,11,approved,"Societatea Natiunilor si pactele de securitate sunt parte a tratatelor interbelice."
2019-esantion-test-2-ii-all,12,approved,"Include Pactul Ribbentrop-Molotov si consecintele sale."
2019-esantion-test-2-iii-essay,10,approved,"Eseul trateaza cultura, invatamantul si stiinta romaneasca interbelica."
2019-pretestare-test-ii-all,12,approved,"Subiectul trateaza Pactul Ribbentrop-Molotov si ultimatumul sovietic."
2019-pretestare-test-ii-all,13,approved,"Cedarea Basarabiei, Bucovinei de Nord si pierderile din 1940 sunt centrale."
2019-pretestare-test-ii-all,16,approved,"Include Romania si Basarabia in anii celui de-al Doilea Razboi Mondial."
2019-pretestare-test-iii-essay,18,approved,"Eseul trateaza sovietizarea Europei de Est si ordinea postbelica."
2019-sesiunea-de-baza-test-i-1,19,approved,"Posterul comunist descrie trasaturi ale regimului sovietic."
2019-sesiunea-de-baza-test-i-4,24,approved,"Maria Biesu este personalitate a culturii din RSSM."
2019-sesiunea-de-baza-test-ii-all,12,approved,"Subiectul analizeaza Pactul sovieto-german si protocolul secret."
2019-sesiunea-de-baza-test-ii-all,14,approved,"Include formarea RSS Moldovenesti si instaurarea regimului sovietic."
2019-sesiunea-de-baza-test-ii-all,22,approved,"Include Declaratia de suveranitate a RSS Moldova din 1990."
2019-sesiunea-de-baza-test-iii-essay,26,approved,"Eseul trateaza dezvoltarea stiintifica si tehnologica a secolului XX."
2019-suplimentara-test-i-4,7,approved,"Tabelul valorii productiei agrare si industriale descrie economia Romaniei interbelice."
2019-suplimentara-test-ii-all,7,approved,"Subiectul trateaza reformele democratice si Constitutia Romaniei Mari."
2019-suplimentara-test-ii-all,8,approved,"Legea de reforma agrara pentru Basarabia este sursa centrala."
2019-suplimentara-test-ii-all,3,approved,"Marea Unire este evenimentul de pornire al subiectului."
2019-suplimentara-test-iii-essay,18,approved,"Eseul trateaza Razboiul Rece si confruntarea SUA-URSS."
2018-esantion-test-1-i-1,16,approved,"23 august 1944 si conflictul Rege-Maresal tin de Romania in al Doilea Razboi Mondial."
2018-esantion-test-1-i-3,4,approved,"Cei patru mari trimit la Conferinta de Pace de la Paris."
2018-esantion-test-1-i-4,5,approved,"Tabelul 1929-1932 descrie criza economica mondiala."
2018-esantion-test-1-ii-all,6,approved,"Subiectul compara democratii interbelice din Europa de Vest."
2018-esantion-test-1-ii-all,7,approved,"Constitutia Romaniei din 1923 este folosita ca exemplu al regimului democratic."
2018-esantion-test-1-iii-essay,11,approved,"Eseul trateaza Mica Intelegere si Intelegerea Balcanica."
2018-esantion-test-2-i-1,9,approved,"Coperta despre R(A)SS Moldoveneasca 1924-1956 trimite la RASSM."
2018-esantion-test-2-i-1,21,approved,"Titlul mentioneaza represiuni politice si violenta in spatiul R(A)SSM/RSSM."
2018-esantion-test-2-i-4,19,approved,"Posterul cu Stalin ilustreaza cultul personalitatii in regimul sovietic."
2018-esantion-test-2-ii-all,15,approved,"Subiectul trateaza al Doilea Razboi Mondial si Holocaustul."
2018-esantion-test-2-ii-all,17,approved,"Include Tribunalul de la Nurnberg si consecintele razboiului."
2018-esantion-test-2-iii-essay,5,approved,"Eseul este despre Marea Criza Economica din 1929-1933."
2018-pretestare-test-i-1,18,approved,"Planul Marshall tine de relatiile internationale postbelice si reconstructia Europei."
2018-pretestare-test-i-4,7,approved,"Tabelul despre carbune si otel tine de industria Romaniei interbelice."
2018-pretestare-test-ii-all,5,approved,"Subiectul trateaza criza economica mondiala."
2018-pretestare-test-ii-all,7,approved,"Include efectele crizei asupra Romaniei interbelice."
2018-pretestare-test-ii-all,8,approved,"Include efectele crizei in Basarabia."
2018-pretestare-test-iii-essay,18,approved,"Eseul trateaza Razboiul Rece si relatiile internationale postbelice."
2018-sesiunea-de-baza-test-i-1,22,approved,"Participarea femeilor in Parlamentul Republicii Moldova tine de viata politica dupa independenta."
2018-sesiunea-de-baza-test-ii-all,18,approved,"Subiectul trateaza Razboiul Rece, NATO, CAER si confruntarea SUA-URSS."
2018-sesiunea-de-baza-test-iii-essay,7,approved,"Eseul trateaza reformele si democratizarea Romaniei interbelice."
2018-sesiunea-de-baza-test-iii-essay,8,approved,"Sursa despre Basarabia in primul deceniu interbelic justifica legatura cu Basarabia."
2018-suplimentara-test-i-3,26,approved,"Primul om in spatiu tine de stiinta si tehnica universala contemporana."
2018-suplimentara-test-ii-all,18,approved,"Revolutiile din 1989 si caderea Zidului Berlinului marcheaza finalul ordinii de Razboi Rece."
2018-suplimentara-test-iii-essay,20,approved,"Eseul trateaza colectivizarea si transformarea social-economica a RSSM."
2018-suplimentara-test-iii-essay,21,approved,"Eseul pune accent pe foamete, deportari si colectivizare fortata."
2018-suplimentara-test-iii-essay,14,approved,"Reperele includ formarea RSSM si instaurarea regimului sovietic."
2017-esantion-test-1-i-1,5,approved,"Tabelul despre productia de automobile arata ponderea SUA in economia interbelica."
2017-esantion-test-1-i-1,6,approved,"Acelasi tabel compara state vest-europene interbelice."
2017-esantion-test-1-i-2,12,approved,"Caricatura despre Polonia trimite la impartirea Poloniei in contextul Pactului Molotov-Ribbentrop."
2017-esantion-test-1-i-2,15,approved,"Atacul asupra Poloniei marcheaza declansarea celui de-al Doilea Razboi Mondial."
2017-esantion-test-1-ii-all,11,approved,"Subiectul trateaza diplomatia si aliantele Romaniei interbelice."
2017-esantion-test-1-ii-all,12,approved,"Include relatiile romano-sovietice si problema Basarabiei."
2017-esantion-test-1-ii-all,3,approved,"Include recunoasterea diplomatica a Romaniei Mari."
2017-esantion-test-1-iii-essay,10,approved,"Eseul trateaza stiinta, tehnica si cultura cotidiana in perioada interbelica."
2017-esantion-test-2-i-1,9,approved,"Structura etnica a RASSM apartine temei despre RASSM."
2017-esantion-test-2-i-2,6,approved,"Cehoslovacia in martie 1939 tine de expansiunea Germaniei naziste in Europa interbelica."
2017-esantion-test-2-i-4,8,approved,"Reforma agrara din Basarabia interbelica apartine temei Basarabiei in Romania Mare."
2017-esantion-test-2-ii-all,4,approved,"Subiectul trateaza Societatea Natiunilor si ordinea internationala de dupa 1919."
2017-esantion-test-2-ii-all,11,approved,"Include pacte si mecanisme de securitate colectiva interbelica."
2017-esantion-test-2-iii-essay,7,approved,"Eseul trateaza monarhia si regimul politic al Romaniei interbelice."
2017-pretestare-test-i-1,8,approved,"Monumentul lui Stefan cel Mare din Chisinau tine de viata spirituala a Basarabiei interbelice."
2017-pretestare-test-i-2,12,approved,"Caricatura despre semnatarii Pactului Molotov-Ribbentrop tine de relatiile sovieto-romane si consecinte."
2017-pretestare-test-i-3,17,approved,"Evenimentul dramatic din Japonia este folosit pentru consecintele celui de-al Doilea Razboi Mondial."
2017-pretestare-test-i-4,6,approved,"Schema despre regimuri politice interbelice se leaga de democratii si totalitarisme europene."
2017-pretestare-test-ii-all,12,approved,"Subiectul include anexarea Basarabiei ca efect al politicii sovietice."
2017-pretestare-test-ii-all,14,approved,"Include formarea RSSM si instaurarea regimului sovietic."
2017-pretestare-test-ii-all,20,approved,"Colectivizarea si transformarea RSSM sunt tratate explicit."
2017-pretestare-test-ii-all,21,approved,"Foametea si deportarile din RSSM sunt centrale."
2017-pretestare-test-iii-essay,26,approved,"Eseul trateaza revolutia tehnico-stiintifica si societatea informationala."
2017-sesiunea-de-baza-test-i-2,12,approved,"Caricatura despre Polonia trimite la impartirea Poloniei si Pactul Molotov-Ribbentrop."
